"","State","Black","Hispanic","Non-Hispanic white","Other"
"1","Population",0.136491073044426,0.0354287759470135,0.791149984379471,0.0369301666290898
"2","Unemployed",0.291710501470152,0.0185589814140433,0.643413989371746,0.0463165277440587
"3","Not in Labor Force",0.122093972652188,0.0237667557633523,0.82439931358309,0.0297399580013694
